Series ID,Year,Period,Label,Value
FMUP1378866,1994,A01,1994 Annual,60.2
FMUP1378866,1995,A01,1995 Annual,60.2
FMUP1378866,1996,A01,1996 Annual,60.1
FMUP1378866,1997,A01,1997 Annual,60.4
FMUP1378866,1998,A01,1998 Annual,60.3
FMUP1378866,1999,A01,1999 Annual,60.4
FMUP1378866,2000,A01,2000 Annual,60.6
FMUP1378866,2001,A01,2001 Annual,60.4
FMUP1378866,2002,A01,2002 Annual,60.0
FMUP1378866,2003,A01,2003 Annual,59.7
FMUP1378866,2004,A01,2004 Annual,59.6
FMUP1378866,2005,A01,2005 Annual,59.8
FMUP1378866,2006,A01,2006 Annual,60.0
FMUP1378866,2007,A01,2007 Annual,59.8
FMUP1378866,2008,A01,2008 Annual,59.9
FMUP1378866,2009,A01,2009 Annual,59.3
FMUP1378866,2010,A01,2010 Annual,58.7
FMUP1378866,2011,A01,2011 Annual,58.1
FMUP1378866,2012,A01,2012 Annual,57.5
FMUP1378866,2013,A01,2013 Annual,57.2
FMUP1378866,2014,A01,2014 Annual,56.7
FMUP1378866,2015,A01,2015 Annual,56.5
FMUP1378866,2016,A01,2016 Annual,56.7
FMUP1378866,2017,A01,2017 Annual,56.8
FMUP1378866,2018,A01,2018 Annual,56.8
