Series ID,Year,Period,Label,Value
FMUP1378851,1994,A01,1994 Annual,79.8
FMUP1378851,1995,A01,1995 Annual,80.3
FMUP1378851,1996,A01,1996 Annual,81.1
FMUP1378851,1997,A01,1997 Annual,81.8
FMUP1378851,1998,A01,1998 Annual,81.8
FMUP1378851,1999,A01,1999 Annual,82.0
FMUP1378851,2000,A01,2000 Annual,82.1
FMUP1378851,2001,A01,2001 Annual,81.9
FMUP1378851,2002,A01,2002 Annual,81.6
FMUP1378851,2003,A01,2003 Annual,81.2
FMUP1378851,2004,A01,2004 Annual,80.7
FMUP1378851,2005,A01,2005 Annual,80.7
FMUP1378851,2006,A01,2006 Annual,81.0
FMUP1378851,2007,A01,2007 Annual,81.4
FMUP1378851,2008,A01,2008 Annual,81.5
FMUP1378851,2009,A01,2009 Annual,81.3
FMUP1378851,2010,A01,2010 Annual,80.9
FMUP1378851,2011,A01,2011 Annual,80.6
FMUP1378851,2012,A01,2012 Annual,80.4
FMUP1378851,2013,A01,2013 Annual,80.0
FMUP1378851,2014,A01,2014 Annual,80.1
FMUP1378851,2015,A01,2015 Annual,80.0
FMUP1378851,2016,A01,2016 Annual,80.4
FMUP1378851,2017,A01,2017 Annual,80.8
FMUP1378851,2018,A01,2018 Annual,81.3
